date,description,amount,category,subcategory
2024-11-23,AMAZON.COM BOOKS,55.62,Entertainment & Leisure,Books/Periodicals
2024-10-18,UNIVERSITY TUITION PYMT,2784.5,Family & Dependent Support,Child education/tuition
2025-02-19,COLD STONE CREAMERY,17.41,Food & Dining,Snacks & Desserts
2024-09-08,REI CO-OP #9054,385.03,Entertainment & Leisure,Recreational equipment
2025-07-24,HEALTHY PAWS INSURANCE,45.99,Pets,Pet insurance
2024-12-10,CHASE MORTGAGE PYMT,1448.77,Housing & Real Estate,Mortgage
2025-05-08,METLIFE DISABILITY,91.23,Insurance (Non-housing/Non-auto),Disability insurance
2025-10-20,BEST BUY #3868,231.05,Household,Appliances
2024-06-07,SHELL OIL #4155,54.94,Transportation & Vehicle,Gas/fuel
2025-11-05,DUNKIN' #9613,4.39,Food & Dining,Coffee shops
2025-11-09,ALLIANZ TRAVEL INS,88.94,Travel & Vacations,Travel insurance
2024-06-30,HOA MGMT ASSOC #2762,589.29,Housing & Real Estate,HOA fees
2025-07-20,PROGRESSIVE INSURANCE,128.78,Transportation & Vehicle,Auto insurance
2024-09-01,URGENT CARE CLINIC,588.85,Healthcare,Out-of-pocket medical costs
2025-06-12,TRIPADVISOR EXPERIENCES,418.5,Travel & Vacations,Tour packages
2025-01-22,ROCKET MORTGAGE LLC,1399.72,Housing & Real Estate,Mortgage
2025-12-03,BEST BUY #8469,549.69,Household,Appliances
2024-06-16,CIGNA SUPP HEALTH,315.51,Healthcare,Private supplemental health insurance
2024-08-06,GNC #5824,23.27,Personal Care & Apparel,Supplements/vitamins
2024-04-08,GNC #5348,40.83,Personal Care & Apparel,Supplements/vitamins
2025-02-27,PETCO GROOMING SALON,30.82,Pets,Grooming
2024-09-09,GEICO AUTO INSURANCE,151.39,Transportation & Vehicle,Auto insurance
2025-06-20,HULU SUBSCRIPTION,89.26,Utilities & Communication,Cable/streaming services
2025-01-14,OLIVE GARDEN #2613,101.49,Food & Dining,Dining out
2025-05-12,MEDICARE PREMIUM,103.67,Healthcare,"Medicare premiums (Parts B, C, D)"
2025-08-13,RITE AID PHARMACY,149.64,Healthcare,Prescriptions
2025-12-21,AXS TICKET PURCHASE,71.3,Entertainment & Leisure,Event tickets
2025-08-27,DSW #1799,89.48,Personal Care & Apparel,Shoes
2024-10-10,AMAZON.COM,38.07,Household,Misc
2025-12-29,SAFEWAY #9185,206.53,Food & Dining,Groceries
2025-02-19,ROTO-ROOTER PLUMBING,538.05,Housing & Real Estate,Maintenance & repairs
2025-04-07,AQUA WATER SEWER,95.3,Utilities & Communication,Water/sewer
2025-06-07,MICHAELS STORES #6216,141.75,Entertainment & Leisure,Hobbies
2024-06-28,SPECTRUM INTERNET,93.56,Utilities & Communication,Internet
2025-05-01,NORWEGIAN CRUISE LINE,2186.38,Travel & Vacations,Cruises
2025-02-28,KROGER #5827,205.75,Food & Dining,Groceries
2024-02-08,CITY WATER UTILITY,45.38,Utilities & Communication,Water/sewer
2025-07-10,THE CHEESECAKE FACTORY,81.85,Food & Dining,Dining out
2025-02-27,CHEWY.COM BIRD,69.94,Pets,Bird supplies
2025-11-15,NORWEGIAN CRUISE LINE,651.43,Travel & Vacations,Cruises
2025-11-18,PETCO #6867,34.48,Pets,Pet food & supplies
2025-01-23,TOYOTA FINANCIAL SVC,287.4,Transportation & Vehicle,Car payments
2025-04-25,MUTUAL OF OMAHA LTC,246.85,Insurance (Non-housing/Non-auto),Long-term care insurance policies
2024-01-13,SKILLSHARE SUBSCRIPTION,357.16,Entertainment & Leisure,Classes
2025-10-29,VITAMIN SHOPPE #818,27.79,Personal Care & Apparel,Supplements/vitamins
2025-12-05,GRUBHUB ORDER #5140,50.85,Food & Dining,Meal delivery services
2024-04-01,ZELLE TRANSFER TO FAMILY,328.55,Family & Dependent Support,Routine family financial assistance.
2024-12-19,HOA MGMT ASSOC #1876,418.46,Housing & Real Estate,HOA fees
2025-07-21,ST JUDE DONATION,458.09,Gifts & Charity,Charitable donations
2024-07-04,FOOT LOCKER #9421,130.15,Personal Care & Apparel,Shoes
2025-11-05,WASTE MANAGEMENT INC,56.36,Utilities & Communication,Trash
2025-05-15,JIFFY LUBE #2393,659.47,Transportation & Vehicle,Vehicle maintenance & repairs
2024-11-20,DUNKIN' #1308,4.13,Food & Dining,Coffee shops
2024-03-31,RITE AID PHARMACY,16.24,Healthcare,Prescriptions
2025-10-22,MUNICIPAL WATER DEPT,89.89,Utilities & Communication,Water/sewer
2025-07-23,PROPERTY TAX ESCROW,1711.32,Housing & Real Estate,Property Taxes
2025-07-13,JOHN HANCOCK LTC,158.6,Insurance (Non-housing/Non-auto),Long-term care insurance policies
2024-09-13,CHASE CARD PAYMENT,152.1,Debts & Loans,Credit card balances
2024-09-11,ASSOCIA HOA DUES,511.01,Housing & Real Estate,HOA fees
2025-11-09,UNITED AIRLINES,669.54,Travel & Vacations,Flights
2025-01-25,TRAVELERS UMBRELLA,32.23,Insurance (Non-housing/Non-auto),Umbrella liability insurance
2025-07-06,LOWE'S #2235,1633.37,Household,Appliances
2024-04-25,WESTERN UNION TRANSFER,213.34,Family & Dependent Support,Routine family financial assistance.
2025-01-17,COUNTY VEHICLE LICENSE,297.1,Transportation & Vehicle,Registration/licensing
2024-06-30,GAP #8088,83.19,Personal Care & Apparel,Clothing
2025-11-07,BRIGHT SMILES DENTAL,137.07,Healthcare,Dental/vision care
2025-02-14,STAPLES #1742,40.02,Household,Office Expenses
2025-09-17,GUITAR CENTER #5234,123.42,Entertainment & Leisure,Hobbies
2025-11-25,UPSTART LOAN PYMT,299.71,Debts & Loans,Personal installment loans
2024-03-20,LOWE'S #6085,1099.05,Household,Appliances
2024-10-06,CENTERPOINT ENERGY,102.78,Utilities & Communication,Gas
2024-03-17,CON EDISON UTILITY,273.39,Utilities & Communication,Electricity
2025-11-08,DSW #9830,179.18,Personal Care & Apparel,Shoes
2024-04-05,GUARDIAN DISABILITY INS,93.81,Insurance (Non-housing/Non-auto),Disability insurance
2024-07-09,MICHAELS STORES #6736,129.65,Entertainment & Leisure,Hobbies
2024-07-14,SHELL OIL #8875,72.1,Transportation & Vehicle,Gas/fuel
2024-05-19,MUTUAL OF OMAHA LTC,164.82,Insurance (Non-housing/Non-auto),Long-term care insurance policies
2024-02-07,URGENT CARE CLINIC,307.29,Healthcare,Out-of-pocket medical costs
2025-06-20,PETSMART #5162,85.74,Pets,Pet food & supplies
2025-09-10,CHASE MORTGAGE PYMT,2555.99,Housing & Real Estate,Mortgage
2025-06-15,LYFT RIDE,12.32,Transportation & Vehicle,Public transit/ride-sharing
2025-12-13,HANDYMAN PRO SVC,243.83,Housing & Real Estate,Maintenance & repairs
2025-10-06,LENSCRAFTERS #8156,74.08,Healthcare,Dental/vision care
2025-02-28,TARGET #5636,16.84,Personal Care & Apparel,Cosmetics/personal hygiene products
2025-05-25,COMFORT KEEPERS,978.22,Family & Dependent Support,Elder care support
2024-10-29,HOBBY LOBBY #502,101.73,Entertainment & Leisure,Hobbies
2024-02-22,LENSCRAFTERS #7316,196.72,Healthcare,Dental/vision care
2025-11-27,PROGRESSIVE INSURANCE,163.41,Transportation & Vehicle,Auto insurance
2025-06-05,ASSOCIA HOA DUES,308.02,Housing & Real Estate,HOA fees
2025-05-16,REGIONAL MEDICAL CTR,599.36,Healthcare,Out-of-pocket medical costs
2025-11-05,RED CROSS DONATION,57.17,Gifts & Charity,Charitable donations
2025-12-13,TARGET #6471,27.48,Personal Care & Apparel,Cosmetics/personal hygiene products
2024-04-07,FOOT LOCKER #7079,139.47,Personal Care & Apparel,Shoes
2025-04-25,KROGER #2373,170.56,Food & Dining,Groceries
2025-07-03,ASSOCIA HOA DUES,455.78,Housing & Real Estate,HOA fees
2025-06-20,PRUDENTIAL LIFE INS,191.14,Insurance (Non-housing/Non-auto),Term or whole life insurance
2025-12-02,SPECTRUM CABLE TV,75.97,Utilities & Communication,Cable/streaming services
2024-12-15,AETNA SUPPLEMENTAL,251.79,Healthcare,Private supplemental health insurance
2025-04-10,DMV VEHICLE REG,164.33,Transportation & Vehicle,Registration/licensing
2025-02-27,WILD BIRD CENTER #7677,56.61,Pets,Bird supplies
2025-04-29,URGENT CARE CLINIC,204.54,Healthcare,Out-of-pocket medical costs
2025-08-06,ETSY.COM ORDER,136.52,Gifts & Charity,Holiday/birthday gifts
2025-11-22,HOME DEPOT APPLIANCES,292.68,Household,Appliances
2024-01-07,BASKIN ROBBINS #5401,18.84,Food & Dining,Snacks & Desserts
2024-09-09,STATE FARM AUTO,140.21,Transportation & Vehicle,Auto insurance
2025-07-13,SSA MEDICARE DEDUCT,179.6,Healthcare,"Medicare premiums (Parts B, C, D)"
2025-12-02,LOCAL BISTRO #2968,119.65,Food & Dining,Dining out
2024-06-18,AXS TICKET PURCHASE,199.01,Entertainment & Leisure,Event tickets
2024-11-06,T-MOBILE PAYMENT,90.28,Utilities & Communication,Cell phone
2025-08-09,GREAT CLIPS #7621,61.64,Personal Care & Apparel,Salon/barber visits
2025-12-17,STAPLES #3864,72.52,Household,Office Expenses
2024-05-22,USAA UMBRELLA POLICY,19.07,Insurance (Non-housing/Non-auto),Umbrella liability insurance
2024-02-02,WELLS FARGO HOME MTG,2144.79,Housing & Real Estate,Mortgage
2024-01-05,NORDSTROM #3222,18.67,Personal Care & Apparel,Clothing
2025-05-12,SPECTRUM INTERNET,88.03,Utilities & Communication,Internet
2025-07-28,ROCKET MORTGAGE LLC,2163.23,Housing & Real Estate,Mortgage
2024-06-10,WALMART #4019,67.23,Household,Misc
2025-09-11,KROGER #2755,182.46,Food & Dining,Groceries
2024-06-29,CIGNA SUPP HEALTH,145.9,Healthcare,Private supplemental health insurance
2024-03-27,DICK'S SPORTING GOODS,487.79,Entertainment & Leisure,Recreational equipment
2024-08-31,KROGER #6068,153.65,Food & Dining,Groceries
2025-12-29,BRIGHT SMILES DENTAL,259.0,Healthcare,Dental/vision care
2025-08-12,METRO TRANSIT FARE,27.38,Transportation & Vehicle,Public transit/ride-sharing
2025-03-10,GENWORTH LTC INSURANCE,169.05,Insurance (Non-housing/Non-auto),Long-term care insurance policies
2024-06-01,WAYFAIR.COM,975.88,Household,Furniture
2024-08-21,TRIPADVISOR EXPERIENCES,566.79,Travel & Vacations,Tour packages
2025-04-06,GEICO AUTO INSURANCE,197.8,Transportation & Vehicle,Auto insurance
2024-03-16,AMEX BILL PAYMENT,423.14,Debts & Loans,Credit card balances
2025-02-17,OLD NAVY #3187,48.8,Personal Care & Apparel,Clothing
2024-07-21,RITE AID PHARMACY,110.26,Healthcare,Prescriptions
2024-11-02,GRUBHUB ORDER #8125,46.89,Food & Dining,Meal delivery services
2025-09-17,TRUPANION PET INSURANCE,48.6,Pets,Pet insurance
2024-05-19,REGIONAL MEDICAL CTR,452.85,Healthcare,Out-of-pocket medical costs
2024-04-21,COLD STONE CREAMERY,6.89,Food & Dining,Snacks & Desserts
2024-04-03,ZELLE TRANSFER TO FAMILY,168.27,Family & Dependent Support,Routine family financial assistance.
2024-04-20,REPUBLIC SERVICES,41.31,Utilities & Communication,Trash
2025-09-14,OLIVE GARDEN #610,37.13,Food & Dining,Dining out
2024-10-23,SOFI PERSONAL LOAN,433.3,Debts & Loans,Personal installment loans
2024-03-21,PEET'S COFFEE #8601,11.05,Food & Dining,Coffee shops
2024-01-03,DSW #7975,76.24,Personal Care & Apparel,Shoes
2024-08-09,BEST BUY #4744,1710.33,Household,Appliances
2025-04-15,CIGNA SUPP HEALTH,367.47,Healthcare,Private supplemental health insurance
2025-01-15,PRUDENTIAL LIFE INS,222.95,Insurance (Non-housing/Non-auto),Term or whole life insurance
2025-07-31,MUTUAL OF OMAHA LTC,239.86,Insurance (Non-housing/Non-auto),Long-term care insurance policies
2024-09-04,EXPEDIA TOUR PACKAGE,564.07,Travel & Vacations,Tour packages
2024-08-13,TREASURER TAX OFC,1113.36,Housing & Real Estate,Property Taxes
2024-09-07,ROCKET MORTGAGE LLC,1473.82,Housing & Real Estate,Mortgage
2024-04-28,COMMUNITY HOA FEE,592.91,Housing & Real Estate,HOA fees
2024-05-20,NETFLIX.COM,26.58,Utilities & Communication,Cable/streaming services
2024-07-02,HONDA FINANCIAL,422.23,Transportation & Vehicle,Car payments
2025-09-03,VCA ANIMAL HOSPITAL,359.88,Pets,Vet care
2024-03-01,COUNTY TAX COLLECTOR,3080.42,Housing & Real Estate,Property Taxes
2025-02-19,LOWE'S #3049,978.29,Household,Appliances
2025-10-26,NIKE STORE #7935,148.98,Personal Care & Apparel,Shoes
2024-09-29,FIRST BAPTIST CHURCH,112.08,Gifts & Charity,Tithing
2024-03-14,USAA UMBRELLA POLICY,21.04,Insurance (Non-housing/Non-auto),Umbrella liability insurance
2025-06-23,GENWORTH LTC INSURANCE,94.1,Insurance (Non-housing/Non-auto),Long-term care insurance policies
2024-08-25,AMAZON.COM,54.0,Household,Misc
2025-10-18,IKEA #3729,1441.67,Household,Furniture
2025-08-02,SOCALGAS PAYMENT,67.54,Utilities & Communication,Gas
2025-01-24,VCA ANIMAL HOSPITAL,192.57,Pets,Vet care
2025-12-04,NORDSTROM #8687,84.26,Personal Care & Apparel,Clothing
2024-01-13,NEW YORK TIMES SUB,17.13,Entertainment & Leisure,Books/Periodicals
2024-10-02,BARNES & NOBLE #6192,14.6,Entertainment & Leisure,Books/Periodicals
2025-05-09,TARGET #7191,76.78,Personal Care & Apparel,Cosmetics/personal hygiene products
2024-10-09,OFFICE DEPOT #9351,61.19,Household,Office Expenses
2024-08-25,IKEA #3685,1537.26,Household,Furniture
2024-09-28,GRUBHUB ORDER #536,41.86,Food & Dining,Meal delivery services
2024-10-20,CENTERPOINT ENERGY,140.5,Utilities & Communication,Gas
2024-12-13,COUNTY TAX COLLECTOR,587.9,Housing & Real Estate,Property Taxes
2024-02-27,ROCKET MORTGAGE LLC,1718.85,Housing & Real Estate,Mortgage
2025-08-17,PETSMART #3487,81.77,Pets,Pet food & supplies
2024-05-24,NETFLIX.COM,55.78,Utilities & Communication,Cable/streaming services
2024-01-15,NELNET STUDENT LOAN,528.93,Debts & Loans,Student loans
2024-03-28,GREYSTAR PROPERTY MGMT,2520.42,Housing & Real Estate,Rent
2024-04-09,TACO BELL #7466,9.96,Food & Dining,Fast food
2024-10-21,QUEST DIAGNOSTICS,338.55,Healthcare,Out-of-pocket medical costs
2025-04-21,7-ELEVEN #1117,14.02,Food & Dining,Snacks & Desserts
2025-09-21,PEET'S COFFEE #2150,8.63,Food & Dining,Coffee shops
2025-04-04,ROCKET MORTGAGE LLC,1871.23,Housing & Real Estate,Mortgage
2025-10-07,MIDAS AUTO REPAIR,158.24,Transportation & Vehicle,Vehicle maintenance & repairs
2024-11-14,AMAZON.COM BOOKS,48.22,Entertainment & Leisure,Books/Periodicals
2024-12-02,CON EDISON UTILITY,77.67,Utilities & Communication,Electricity
2025-06-03,GREYSTAR PROPERTY MGMT,2242.94,Housing & Real Estate,Rent
2025-03-24,VENMO FAMILY SUPPORT,143.78,Family & Dependent Support,Routine family financial assistance.
2024-08-06,STATE FARM INSURANCE,99.78,Housing & Real Estate,Homeowner's Insurance
2025-01-26,PG&E ELECTRIC BILL,77.37,Utilities & Communication,Electricity
2025-11-24,DICK'S SPORTING GOODS,266.46,Entertainment & Leisure,Recreational equipment
2025-09-02,UNITEDHEALTH MEDIGAP,202.1,Healthcare,Private supplemental health insurance
2024-09-19,AETNA SUPPLEMENTAL,239.51,Healthcare,Private supplemental health insurance
2024-08-31,MARRIOTT HOTELS #5525,470.13,Travel & Vacations,Lodging
2025-11-22,METLIFE DISABILITY,81.2,Insurance (Non-housing/Non-auto),Disability insurance
2025-02-27,GAP #6353,123.62,Personal Care & Apparel,Clothing
2025-01-23,JIFFY LUBE #3314,323.68,Transportation & Vehicle,Vehicle maintenance & repairs
2025-04-01,APPLE.COM/BILL,9.05,Entertainment & Leisure,Apps/services
2024-10-20,PRIVATE SCHOOL TUITION,2029.14,Family & Dependent Support,Child education/tuition
2024-02-13,IKEA #4431,776.7,Household,Furniture
2025-05-07,FIRST BAPTIST CHURCH,309.57,Gifts & Charity,Tithing
2024-11-11,PETCO GROOMING SALON,24.1,Pets,Grooming
2025-11-03,HULU SUBSCRIPTION,28.66,Utilities & Communication,Cable/streaming services
2024-09-08,UNITEDHEALTH MEDIGAP,196.69,Healthcare,Private supplemental health insurance
2024-09-03,CHICK-FIL-A #8381,14.14,Food & Dining,Fast food
2024-11-20,RED CROSS DONATION,249.04,Gifts & Charity,Charitable donations
2024-01-19,HULU SUBSCRIPTION,49.7,Utilities & Communication,Cable/streaming services
2024-10-28,LOCAL PET GROOMER,33.32,Pets,Grooming
2025-09-18,DUNKIN' #7411,4.93,Food & Dining,Coffee shops
2024-12-29,GREAT CLIPS #3733,15.23,Personal Care & Apparel,Salon/barber visits
2024-09-28,DICK'S SPORTING GOODS,167.99,Entertainment & Leisure,Recreational equipment
2024-01-11,ASHLEY FURNITURE,765.9,Household,Furniture
2025-07-06,PROPERTY TAX ESCROW,3389.53,Housing & Real Estate,Property Taxes
2024-03-13,GUARDIAN DISABILITY INS,92.3,Insurance (Non-housing/Non-auto),Disability insurance
2024-02-21,USAA HOMEOWNERS,164.67,Housing & Real Estate,Homeowner's Insurance
2024-02-22,GRUBHUB ORDER #9577,40.99,Food & Dining,Meal delivery services
2025-10-20,TRAVELEX INSURANCE,145.88,Travel & Vacations,Travel insurance
2025-01-31,PETCO #1115,78.84,Pets,Pet food & supplies
2024-10-22,RITE AID PHARMACY,150.12,Healthcare,Prescriptions
2024-12-18,COSTCO WHOLESALE #3541,46.91,Household,Cleaning supplies
2025-08-08,PG&E ELECTRIC BILL,112.19,Utilities & Communication,Electricity
2025-11-18,WORLD NOMADS INSURANCE,138.32,Travel & Vacations,Travel insurance
2025-05-23,FOOT LOCKER #2727,31.11,Personal Care & Apparel,Shoes
2024-10-01,STATE FARM AUTO,102.5,Transportation & Vehicle,Auto insurance
2024-12-05,EXPEDIA TOUR PACKAGE,352.89,Travel & Vacations,Tour packages
2025-07-26,TARGET #1577,57.21,Household,Misc
2025-10-31,USAA HOMEOWNERS,161.68,Housing & Real Estate,Homeowner's Insurance
2024-04-27,ZILLOW RENTAL PYMT,2120.43,Housing & Real Estate,Rent
2024-02-10,HOA MGMT ASSOC #785,288.72,Housing & Real Estate,HOA fees
2025-01-23,CMS MEDICARE PART B,114.0,Healthcare,"Medicare premiums (Parts B, C, D)"
2025-05-15,ZILLOW RENTAL PYMT,1998.42,Housing & Real Estate,Rent
2025-08-07,WHOLE FOODS MKT #6126,154.05,Food & Dining,Groceries
2024-02-02,COUNTY TAX COLLECTOR,1109.72,Housing & Real Estate,Property Taxes
2025-12-25,UPSTART LOAN PYMT,81.56,Debts & Loans,Personal installment loans
2025-09-06,TARGET #2691,113.77,Gifts & Charity,Holiday/birthday gifts
2024-11-23,MEDICARE PREMIUM,103.47,Healthcare,"Medicare premiums (Parts B, C, D)"
2024-03-12,ASSOCIA HOA DUES,275.37,,
2025-02-04,UBER TRIP,21.72,Transportation & Vehicle,Public transit/ride-sharing
2025-05-15,MIDAS AUTO REPAIR,261.3,Transportation & Vehicle,Vehicle maintenance & repairs
2025-12-19,ASSOCIA HOA DUES,221.64,Housing & Real Estate,HOA fees
2024-09-12,COUNTY TAX COLLECTOR,1263.49,Housing & Real Estate,Property Taxes
2025-05-25,VENMO FAMILY SUPPORT,365.18,Family & Dependent Support,Routine family financial assistance.
2025-07-16,NORTHWESTERN MUTUAL,149.36,Insurance (Non-housing/Non-auto),Term or whole life insurance
2024-02-14,WHOLE FOODS MKT #2812,162.84,Food & Dining,Groceries
2024-03-28,BANFIELD PET HOSPITAL,540.1,Pets,Vet care
2025-03-08,LA FITNESS MEMBERSHIP,150.74,Entertainment & Leisure,Gym/club memberships
2024-09-07,ACE HARDWARE #2514,80.52,Housing & Real Estate,Maintenance & repairs
2024-07-16,LENSCRAFTERS #4218,146.05,Healthcare,Dental/vision care
2024-12-26,REPUBLIC SERVICES,50.02,Utilities & Communication,Trash
2025-12-07,ST MARY'S PARISH TITHE,85.7,Gifts & Charity,Tithing
2025-07-26,PROGRESSIVE INSURANCE,222.46,Transportation & Vehicle,Auto insurance
2025-12-24,NATIONWIDE PET INS,49.43,Pets,Pet insurance
2025-08-06,ALLSTATE HOME INS,112.37,Housing & Real Estate,Homeowner's Insurance
2024-03-02,JIFFY LUBE #8385,432.17,Transportation & Vehicle,Vehicle maintenance & repairs
2025-07-26,STATE DMV FEE,186.62,Transportation & Vehicle,Registration/licensing
2024-04-19,UNUM DISABILITY,33.38,Insurance (Non-housing/Non-auto),Disability insurance
2024-05-14,STATE FARM INSURANCE,151.72,Housing & Real Estate,Homeowner's Insurance
2025-03-16,CITY TRASH COLLECTION,63.27,Utilities & Communication,Trash
2025-03-09,TREASURER TAX OFC,1736.26,Housing & Real Estate,Property Taxes
2025-11-26,STATE FARM UMBRELLA,40.66,Insurance (Non-housing/Non-auto),Umbrella liability insurance
2025-05-25,LOCAL BARBER SHOP,24.24,Personal Care & Apparel,Salon/barber visits
2024-04-29,AMAZON.COM,32.95,Household,Misc
2024-04-02,TRAVELEX INSURANCE,128.86,Travel & Vacations,Travel insurance
2024-12-26,HOBBY LOBBY #9717,31.7,Entertainment & Leisure,Hobbies
2024-12-15,PETCO BIRD SUPPLIES,50.52,Pets,Bird supplies
2024-07-02,PETSMART GROOMING #2756,89.51,Pets,Grooming
2025-05-28,CHEWY.COM,43.26,Pets,Pet food & supplies
2025-09-04,EXXONMOBIL #9538,45.73,Transportation & Vehicle,Gas/fuel
2025-09-16,PLANET FITNESS #8791,110.13,Entertainment & Leisure,Gym/club memberships
2025-04-20,CENTERPOINT ENERGY,34.8,Utilities & Communication,Gas
2024-12-10,CIGNA SUPP HEALTH,300.46,Healthcare,Private supplemental health insurance
2024-04-19,RED CROSS DONATION,353.65,Gifts & Charity,Charitable donations
2025-09-16,BRIGHT SMILES DENTAL,325.67,Healthcare,Dental/vision care
2025-09-18,SUPERCUTS #6321,96.81,Personal Care & Apparel,Salon/barber visits
2024-02-22,USAA HOMEOWNERS,211.9,Housing & Real Estate,Homeowner's Insurance
2025-12-14,VCA ANIMAL HOSPITAL,172.46,Pets,Vet care
2024-03-04,UBER EATS,54.28,Food & Dining,Meal delivery services
2025-12-07,LENSCRAFTERS #2058,381.73,Healthcare,Dental/vision care
2024-01-30,LOCAL DAYCARE CENTER,1030.44,Family & Dependent Support,Childcare
2025-08-16,UPSTART LOAN PYMT,142.56,Debts & Loans,Personal installment loans
2025-06-04,STATE FARM INSURANCE,95.36,Housing & Real Estate,Homeowner's Insurance
2025-07-28,ZILLOW RENTAL PYMT,1469.94,Housing & Real Estate,Rent
2025-06-19,BANFIELD PET HOSPITAL,174.51,Pets,Vet care
2025-01-22,PETCO GROOMING SALON,95.98,Pets,Grooming
2024-08-17,WASTE MANAGEMENT INC,52.84,Utilities & Communication,Trash
2025-08-09,BASKIN ROBBINS #5047,12.48,Food & Dining,Snacks & Desserts
2025-07-17,TARGET #5872,181.96,Gifts & Charity,Holiday/birthday gifts
2024-09-26,UNITED WAY DONATION,154.88,Gifts & Charity,Charitable donations
2024-10-08,ROCKET MORTGAGE LLC,1378.13,Housing & Real Estate,Mortgage
2025-08-14,MASSMUTUAL LIFE,98.75,Insurance (Non-housing/Non-auto),Term or whole life insurance
2024-07-23,GOOGLE PLAY APPS,6.02,Entertainment & Leisure,Apps/services
2024-08-12,APPLE.COM/BILL,10.02,Entertainment & Leisure,Apps/services
2024-08-11,CAPITAL ONE PAYMENT,1164.63,Debts & Loans,Credit card balances
2025-07-07,COUNTY TAX COLLECTOR,556.82,Housing & Real Estate,Property Taxes
2025-08-17,TARGET #4207,13.11,Household,Cleaning supplies
2024-06-26,GRUBHUB ORDER #6273,29.12,Food & Dining,Meal delivery services
2024-10-17,MONTESSORI ACADEMY,1300.91,Family & Dependent Support,Child education/tuition
2025-11-20,AMAZON.COM BOOKS,14.21,Entertainment & Leisure,Books/Periodicals
2025-04-29,CHEVRON #3112,74.04,Transportation & Vehicle,Gas/fuel
2025-08-27,WAYFAIR.COM,845.96,Household,Furniture
2025-08-09,TARGET #2119,10.17,Household,Cleaning supplies
2024-03-28,COMMUNITY CHURCH GIVING,171.69,Gifts & Charity,Tithing
2024-05-04,VENMO FAMILY SUPPORT,671.19,Family & Dependent Support,Routine family financial assistance.
2025-10-19,CITY WATER UTILITY,102.9,Utilities & Communication,Water/sewer
2024-03-29,NORTHWESTERN MUTUAL,89.73,Insurance (Non-housing/Non-auto),Term or whole life insurance
2025-10-03,IKEA #8924,441.08,Household,Furniture
2025-05-31,BEST BUY #3415,988.61,,
2024-03-15,ALLSTATE HOME INS,330.83,Housing & Real Estate,Homeowner's Insurance
2025-11-02,UBER EATS,56.58,Food & Dining,Meal delivery services
2024-05-14,MONTESSORI ACADEMY,3207.11,Family & Dependent Support,Child education/tuition
2025-12-09,TOYOTA FINANCIAL SVC,334.57,Transportation & Vehicle,Car payments
2025-01-20,WORLD NOMADS INSURANCE,77.98,Travel & Vacations,Travel insurance
2025-11-18,PROPERTY TAX ESCROW,1636.88,Housing & Real Estate,Property Taxes
2024-04-02,NIKE STORE #8195,48.12,Personal Care & Apparel,Shoes
2024-07-10,GEICO AUTO INSURANCE,112.53,Transportation & Vehicle,Auto insurance
2024-06-07,OFFICE DEPOT #6798,60.72,Household,Office Expenses
2025-07-26,OLD NAVY #2196,166.89,Personal Care & Apparel,Clothing
2025-01-14,CIGNA SUPP HEALTH,228.51,Healthcare,Private supplemental health insurance
2024-07-13,ASSOCIA HOA DUES,554.78,Housing & Real Estate,HOA fees
2024-03-07,APPLE.COM/BILL,3.48,Entertainment & Leisure,Apps/services
2024-07-24,CENTERPOINT ENERGY,89.4,Utilities & Communication,Gas
2024-04-11,ASSISTED LIVING FACILITY,214.5,Family & Dependent Support,Elder care support
2025-09-18,MARRIOTT HOTELS #3083,397.22,Travel & Vacations,Lodging
2025-03-07,MUTUAL OF OMAHA LTC,236.12,Insurance (Non-housing/Non-auto),Long-term care insurance policies
2024-02-13,VENMO FAMILY SUPPORT,168.96,Family & Dependent Support,Routine family financial assistance.
2024-10-07,OLD NAVY #1050,15.97,Personal Care & Apparel,Clothing
2025-08-22,OLD NAVY #5528,91.19,Personal Care & Apparel,Clothing
2025-09-29,VCA ANIMAL HOSPITAL,402.21,Pets,Vet care
2025-11-03,PETSMART #5699,108.69,Pets,Pet food & supplies
2024-12-14,WELLS FARGO HOME MTG,2317.02,Housing & Real Estate,Mortgage
2025-07-23,WASTE MANAGEMENT INC,37.51,Utilities & Communication,Trash
2024-07-09,COLD STONE CREAMERY,6.63,Food & Dining,Snacks & Desserts
2025-07-20,LENSCRAFTERS #845,488.18,Healthcare,Dental/vision care
2025-02-22,METRO TRANSIT FARE,5.9,Transportation & Vehicle,Public transit/ride-sharing
2025-02-22,CENTERPOINT ENERGY,71.84,Utilities & Communication,Gas
2025-01-04,WAYFAIR.COM,461.14,Household,Furniture
2025-07-19,GUITAR CENTER #4096,108.04,Entertainment & Leisure,Hobbies
2025-10-12,HOBBY LOBBY #7031,45.29,Entertainment & Leisure,Hobbies
2024-06-27,SALLIE MAE PAYMENT,155.77,Debts & Loans,Student loans
2024-02-25,ULTA BEAUTY #5222,87.2,Personal Care & Apparel,Cosmetics/personal hygiene products
2025-06-27,COMCAST XFINITY,50.96,Utilities & Communication,Internet
2024-08-21,THE HOME DEPOT #1254,37.9,Household,Cleaning supplies
2025-05-23,WILD BIRD CENTER #2225,46.09,Pets,Bird supplies
2024-10-25,MARRIOTT HOTELS #3490,177.12,Travel & Vacations,Lodging
2025-08-14,STUBHUB TICKETS,159.6,Entertainment & Leisure,Event tickets
